Date Time,Lake Mead Differnece (Thousand acre-feet),ARIZONA (acre-feet),CALIFORNIA (acre-feet),NEVADA (acre-feet),MEXICO (acre-feet),Sum,mead_Evap_tavg (kg m-2 s-1),mead_Tair_f_inst (K),mead_Rainf_tavg (kg m-2 s-1),upperCRB_Tair_f_inst (K),upperCRB_Snowf_tavg (kg m-2 s-1),upperCRB_Rainf_tavg (kg m-2 s-1),upperCRB_SoilMoi40_100cm_inst,upperCRB_SWE_inst (kg m-2),PDSI (Index)
2016-01-01,0231.0000000000,177409.0000000000,223907.0000000000,8453.0000000000,154327.0000000000,564096.0000000000,0000.0000055022,0280.6913550000,0000.0000159597,0265.8868232427,0000.0000091224,0000.0000022224,0076.4969717364,0013.0939474461,0000.9500000000
2016-02-01,0042.0000000000,190876.0000000000,248525.0000000000,10306.0000000000,180079.0000000000,629786.0000000000,0000.0000086116,0285.7034883333,0000.0000036290,0270.5236831172,0000.0000040949,0000.0000016320,0077.3128323285,0012.6386249032,-0000.6800000000
2016-03-01,-0312.0000000000,237616.0000000000,421500.0000000000,18176.0000000000,220718.0000000000,898010.0000000000,0000.0000102062,0290.0880683333,0000.0000070946,0275.3516340167,0000.0000038971,0000.0000090770,0079.7265514644,0002.5912306841,-0001.4900000000
2016-04-01,-0355.0000000000,293016.0000000000,428164.0000000000,18399.0000000000,202006.0000000000,941585.0000000000,0000.0000132913,0292.8436416667,0000.0000168629,0278.9539299582,0000.0000044109,0000.0000132163,0083.3610924059,0001.6262658662,-0001.1800000000
2016-05-01,-0189.0000000000,306195.0000000000,475997.0000000000,22101.0000000000,97446.0000000000,901739.0000000000,0000.0000120840,0296.9593816667,0000.0000056640,0283.1450252720,0000.0000014406,0000.0000159527,0090.4584481213,0000.5075699291,-0001.2300000000
2016-06-01,-0174.0000000000,219345.0000000000,472084.0000000000,28389.0000000000,91620.0000000000,811438.0000000000,0000.0000034319,0306.3888733333,0000.0000013755,0292.7975322803,0000.0000000101,0000.0000049833,0085.5619982092,0000.0075353034,-0001.8200000000
2016-07-01,0089.0000000000,207719.0000000000,449881.0000000000,30760.0000000000,102272.0000000000,790632.0000000000,0000.0000067550,0307.7180500000,0000.0000062276,0294.0962205858,0000.0000000011,0000.0000068685,0073.3781650063,0000.0001262822,-0002.7000000000
2016-08-01,0196.0000000000,173473.0000000000,413384.0000000000,29099.0000000000,99074.0000000000,715030.0000000000,0000.0000078335,0305.4495033333,0000.0000100577,0291.7629787029,0000.0000000176,0000.0000129195,0068.0743333598,0000.0022170671,-0002.2300000000
2016-09-01,0005.0000000000,232168.0000000000,359802.0000000000,22563.0000000000,91609.0000000000,706142.0000000000,0000.0000057512,0300.7133050000,0000.0000038513,0287.7213597908,0000.0000002171,0000.0000168156,0066.8626323787,0000.0385991112,-0001.9300000000
2016-10-01,0090.0000000000,227165.0000000000,359835.0000000000,23953.0000000000,60789.0000000000,671742.0000000000,0000.0000036634,0296.0201616667,0000.0000044497,0282.7907799372,0000.0000002259,0000.0000082806,0069.1651149833,0000.0818392336,-0002.6300000000
2016-11-01,0017.0000000000,200109.0000000000,296041.0000000000,16701.0000000000,96887.0000000000,609738.0000000000,0000.0000044448,0288.4900450000,0000.0000045130,0275.7887019247,0000.0000033472,0000.0000046779,0071.6588588222,0001.1560188290,-0002.5700000000
2016-12-01,0352.0000000000,147742.0000000000,231981.0000000000,9426.0000000000,112402.0000000000,501551.0000000000,0000.0000056111,0280.8577733333,0000.0000147725,0266.8627510879,0000.0000067858,0000.0000076430,0073.9982682427,0010.5211143967,0000.5000000000
2017-01-01,0442.0000000000,142841.0000000000,154193.0000000000,7512.0000000000,126248.0000000000,430794.0000000000,0000.0000094113,0281.0368450000,0000.0000232892,0266.1657205439,0000.0000125289,0000.0000077323,0078.2395908619,0030.7313289840,0001.6600000000
2017-02-01,0317.0000000000,103498.0000000000,183907.0000000000,7421.0000000000,160026.0000000000,454852.0000000000,0000.0000117696,0285.6678733333,0000.0000170577,0271.3672078243,0000.0000066850,0000.0000070083,0082.8832464916,0021.9355562711,-0000.0600000000
2017-03-01,-0131.0000000000,246837.0000000000,337284.0000000000,15908.0000000000,202972.0000000000,803001.0000000000,0000.0000165958,0290.6981466667,0000.0000122843,0276.2099432008,0000.0000047076,0000.0000105355,0091.1152814770,0009.5906488546,-0000.8000000000
2017-04-01,-0287.0000000000,306308.0000000000,399845.0000000000,20107.0000000000,180934.0000000000,907194.0000000000,0000.0000126072,0293.0303150000,0000.0000094907,0278.3908097699,0000.0000025639,0000.0000096087,0106.7548001967,0001.7769434363,-0000.8700000000
2017-05-01,-0279.0000000000,302088.0000000000,417226.0000000000,29320.0000000000,110666.0000000000,859300.0000000000,0000.0000038859,0297.5873583333,0000.0000019172,0283.7138567782,0000.0000018127,0000.0000109173,0107.7000867762,0000.5321953035,-0000.7900000000
2017-06-01,-0170.0000000000,205466.0000000000,438278.0000000000,29170.0000000000,125896.0000000000,798810.0000000000,0000.0000026037,0305.6803366667,0000.0000006159,0291.9346382636,0000.0000000597,0000.0000028256,0095.2047367197,0000.0114082985,-0001.2200000000
