"ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
2011-01-01,761381.603594933,-221197.629670975,-221197.629670975,-221197.629670975,-221197.629670975,-221197.629670975,-221197.629670975,0,0,0,463591.444600676,612112.991806119,761381.603594933,761381.603594933,540183.973923957
2011-02-01,761351.854336341,-164537.856439927,-164537.856439927,-164537.856439927,-164537.856439927,-164537.856439927,-164537.856439927,0,0,0,524861.924715249,670676.956154472,761351.854336341,761351.854336341,596813.997896415
2011-03-01,761324.984038259,93698.4407353636,93698.4407353636,93698.4407353636,93698.4407353636,93698.4407353636,93698.4407353636,0,0,0,776636.576931046,931684.198396956,761324.984038259,761324.984038259,855023.424773623
2011-04-01,761295.234779668,220215.623326772,220215.623326772,220215.623326772,220215.623326772,220215.623326772,220215.623326772,0,0,0,910775.62989351,1058383.74134785,761295.234779668,761295.234779668,981510.85810644
2011-05-01,761266.44517458,184659.593524712,184659.593524712,184659.593524712,184659.593524712,184659.593524712,184659.593524712,0,0,0,872734.394600501,1024932.87161501,761266.44517458,761266.44517458,945926.038699292
2011-06-01,761236.695915988,132888.450521445,132888.450521445,132888.450521445,132888.450521445,132888.450521445,132888.450521445,0,0,0,819435.087464579,969034.177468923,761236.695915988,761236.695915988,894125.146437433
2011-07-01,761207.9063109,118515.714615853,118515.714615853,118515.714615853,118515.714615853,118515.714615853,118515.714615853,0,0,0,808643.873925202,957359.143147786,761207.9063109,761207.9063109,879723.620926753
2011-08-01,761178.157052309,22606.1556963983,22606.1556963983,22606.1556963983,22606.1556963983,22606.1556963983,22606.1556963983,0,0,0,714364.691572112,857133.892837439,761178.157052309,761178.157052309,783784.312748707
2011-09-01,761148.407793717,-9383.99861485026,-9383.99861485026,-9383.99861485026,-9383.99861485026,-9383.99861485026,-9383.99861485026,0,0,0,681100.707596524,828439.361294379,761148.407793717,761148.407793717,751764.409178867
2011-10-01,761119.618188629,-82762.3312221719,-82762.3312221719,-82762.3312221719,-82762.3312221719,-82762.3312221719,-82762.3312221719,0,0,0,597138.815868568,748088.004841194,761119.618188629,761119.618188629,678357.286966457
2011-11-01,761089.868947643,-188762.341744055,-188762.341744055,-188762.341744055,-188762.341744055,-188762.341744055,-188762.341744055,0,0,0,496689.249954468,650889.986839478,761089.868947643,761089.868947643,572327.527203589
2011-12-01,761061.079359592,-258842.141651503,-258842.141651503,-258842.141651503,-258842.141651503,-258842.141651503,-258842.141651503,0,0,0,427385.868972678,575118.58577558,761061.079359592,761061.079359592,502218.937708089
2012-01-01,761031.330118607,-215290.297752778,-215290.297752778,-215290.297752778,-215290.297752778,-215290.297752778,-215290.297752778,0,0,0,473990.617493307,618569.193274612,761031.330118607,761031.330118607,545741.032365829
2012-02-01,761001.580877621,-146474.094942978,-146474.094942978,-146474.094942978,-146474.094942978,-146474.094942978,-146474.094942978,0,0,0,541746.308270038,687375.962398152,761001.580877621,761001.580877621,614527.485934643
2012-03-01,760973.750942505,94964.5796691752,94964.5796691752,94964.5796691752,94964.5796691752,94964.5796691752,94964.5796691752,0,0,0,783813.726418525,928275.933887883,760973.750942505,760973.750942505,855938.33061168
2012-04-01,760944.001701519,231070.710775095,231070.710775095,231070.710775095,231070.710775095,231070.710775095,231070.710775095,0,0,0,916635.066843508,1067768.65164784,760944.001701519,760944.001701519,992014.712476614
2012-05-01,760915.212113468,231839.57382264,231839.57382264,231839.57382264,231839.57382264,231839.57382264,231839.57382264,0,0,0,918056.282074228,1070241.15931728,760915.212113468,760915.212113468,992754.785936108
2012-06-01,760885.462872482,132982.400639428,132982.400639428,132982.400639428,132982.400639428,132982.400639428,132982.400639428,0,0,0,820504.338760338,977055.777103349,760885.462872482,760885.462872482,893867.863511911
2012-07-01,760856.673284432,109108.984182683,109108.984182683,109108.984182683,109108.984182683,109108.984182683,109108.984182683,0,0,0,797304.21177381,946702.68536371,760856.673284432,760856.673284432,869965.657467115
2012-08-01,761116.466942647,7129.61743147094,7129.61743147094,7129.61743147094,7129.61743147094,7129.61743147094,7129.61743147094,0,0,0,694350.842469461,844579.024421184,761116.466942647,761116.466942647,768246.084374118
2012-09-01,761376.260600863,-40899.7868196675,-40899.7868196675,-40899.7868196675,-40899.7868196675,-40899.7868196675,-40899.7868196675,0,0,0,647240.678091932,799708.316508721,761376.260600863,761376.260600863,720476.473781196
2012-10-01,761627.673818492,-109643.208390709,-109643.208390709,-109643.208390709,-109643.208390709,-109643.208390709,-109643.208390709,0,0,0,576972.809611067,728340.326163269,761627.673818492,761627.673818492,651984.465427783
2012-11-01,761887.467476708,-141467.444747416,-141467.444747416,-141467.444747416,-141467.444747416,-141467.444747416,-141467.444747416,0,0,0,541122.412949022,695684.193048913,761887.467476708,761887.467476708,620420.022729292
2012-12-01,762138.880694336,-205057.563123547,-205057.563123547,-205057.563123547,-205057.563123547,-205057.563123547,-205057.563123547,0,0,0,477953.935254503,630064.656520423,762138.880694336,762138.880694336,557081.317570789
2013-01-01,762398.674352552,-231031.194560175,-231031.194560175,-231031.194560175,-231031.194560175,-231031.194560175,-231031.194560175,0,0,0,457182.990191394,603196.023846925,762398.674352552,762398.674352552,531367.479792377
2013-02-01,762658.468010768,-200244.092788439,-200244.092788439,-200244.092788439,-200244.092788439,-200244.092788439,-200244.092788439,0,0,0,486272.731831934,638888.25405198,762658.468010768,762658.468010768,562414.375222329
2013-03-01,762893.120347221,94985.9325588689,94985.9325588689,94985.9325588689,94985.9325588689,94985.9325588689,94985.9325588689,0,0,0,787159.791482365,930426.914913568,762893.120347221,762893.120347221,857879.05290609
2013-04-01,763152.914005437,227844.571495951,227844.571495951,227844.571495951,227844.571495951,227844.571495951,227844.571495951,0,0,0,919963.908407637,1068207.90381568,763152.914005437,763152.914005437,990997.485501388
2013-05-01,763409.382854194,216077.895488794,216077.895488794,216077.895488794,216077.895488794,216077.895488794,216077.895488794,0,0,0,907117.206151006,1053231.53929315,763409.382854194,763409.382854194,979487.278342988
2013-06-01,763674.400664577,132609.63496478,132609.63496478,132609.63496478,132609.63496478,132609.63496478,132609.63496478,0,0,0,822561.210993319,972652.266803185,763674.400664577,763674.400664577,896284.035629357
2013-07-01,763930.869513334,112028.950834002,112028.950834002,112028.950834002,112028.950834002,112028.950834002,112028.950834002,0,0,0,797719.014735675,949776.288994474,763930.869513334,763930.869513334,875959.820347336
2013-08-01,764195.887323717,12121.1643289461,12121.1643289461,12121.1643289461,12121.1643289461,12121.1643289461,12121.1643289461,0,0,0,701445.965470562,844487.946951923,764195.887323717,764195.887323717,776317.051652663
2013-09-01,764460.9051341,-30340.9712274637,-30340.9712274637,-30340.9712274637,-30340.9712274637,-30340.9712274637,-30340.9712274637,0,0,0,660452.308200696,810218.764625222,764460.9051341,764460.9051341,734119.933906636
2013-10-01,764717.373982857,-100175.201143329,-100175.201143329,-100175.201143329,-100175.201143329,-100175.201143329,-100175.201143329,0,0,0,589959.807253738,742118.060455046,764717.373982857,764717.373982857,664542.172839528
2013-11-01,764982.39179324,-156814.493497287,-156814.493497287,-156814.493497287,-156814.493497287,-156814.493497287,-156814.493497287,0,0,0,534851.506837202,686518.211509998,764982.39179324,764982.39179324,608167.898295952
2013-12-01,765238.860641997,-223391.280724253,-223391.280724253,-223391.280724253,-223391.280724253,-223391.280724253,-223391.280724253,0,0,0,469705.358337348,616261.13096471,765238.860641997,765238.860641997,541847.579917744
2014-01-01,765503.87779521,-226446.749074276,-226446.749074276,-226446.749074276,-226446.749074276,-226446.749074276,-226446.749074276,0,0,0,465288.167116978,613842.581271221,765503.87779521,765503.87779521,539057.128720935
2014-02-01,765768.894948423,-182469.974777116,-182469.974777116,-182469.974777116,-182469.974777116,-182469.974777116,-182469.974777116,0,0,0,507220.407743628,659780.263010993,765768.894948423,765768.894948423,583298.920171308
2014-03-01,766008.265280358,94565.7767661302,94565.7767661302,94565.7767661302,94565.7767661302,94565.7767661302,94565.7767661302,0,0,0,792121.73790821,936533.089656148,766008.265280358,766008.265280358,860574.042046488
2014-04-01,766273.282433571,224223.63766147,224223.63766147,224223.63766147,224223.63766147,224223.63766147,224223.63766147,0,0,0,919202.602351162,1064537.16681285,766273.282433571,766273.282433571,990496.920095041
2014-05-01,766529.750646358,200344.079097734,200344.079097734,200344.079097734,200344.079097734,200344.079097734,200344.079097734,0,0,0,890024.393234954,1036151.70737361,766529.750646358,766529.750646358,966873.829744092
2014-06-01,766794.767799571,132576.491552759,132576.491552759,132576.491552759,132576.491552759,132576.491552759,132576.491552759,0,0,0,825291.667422045,974720.975525761,766794.767799571,766794.767799571,899371.25935233
2014-07-01,767051.236012358,115166.179889883,115166.179889883,115166.179889883,115166.179889883,115166.179889883,115166.179889883,0,0,0,806039.150902246,959432.978746079,767051.236012358,767051.236012358,882217.415902241
2014-08-01,767316.253165571,17283.4608616905,17283.4608616905,17283.4608616905,17283.4608616905,17283.4608616905,17283.4608616905,0,0,0,713934.438541916,863794.303138866,767316.253165571,767316.253165571,784599.714027262
2014-09-01,767581.270318784,-19830.1887849751,-19830.1887849751,-19830.1887849751,-19830.1887849751,-19830.1887849751,-19830.1887849751,0,0,0,668729.499433848,817733.999772131,767581.270318784,767581.270318784,747751.081533809
2014-10-01,765847.91860601,-91212.5426154843,-91212.5426154843,-91212.5426154843,-91212.5426154843,-91212.5426154843,-91212.5426154843,0,0,0,600088.726096293,754365.883192966,765847.91860601,765847.91860601,674635.375990526
2014-11-01,764056.788502811,-172587.037120409,-172587.037120409,-172587.037120409,-172587.037120409,-172587.037120409,-172587.037120409,0,0,0,518742.300872515,660865.532528261,764056.788502811,764056.788502811,591469.751382401
2014-12-01,762323.436790037,-241327.726910777,-241327.726910777,-241327.726910777,-241327.726910777,-241327.726910777,-241327.726910777,0,0,0,452711.806935265,601208.456918073,762323.436790037,762323.436790037,520995.70987926
2015-01-01,760532.306686838,-221197.629670993,-221197.629670993,-221197.629670993,-221197.629670993,-221197.629670993,-221197.629670993,0,0,0,465943.474482216,615743.868161271,760532.306686838,760532.306686838,539334.677015845
2015-02-01,758741.176583638,-164537.856439972,-164537.856439972,-164537.856439972,-164537.856439972,-164537.856439972,-164537.856439972,0,0,0,524465.51456051,670618.03323242,758741.176583638,758741.176583638,594203.320143666
2015-03-01,757123.381651716,93698.4407353248,93698.4407353248,93698.4407353248,93698.4407353248,93698.4407353248,93698.4407353248,0,0,0,777068.417556928,923919.369373961,757123.381651716,757123.381651716,850821.822387041
2015-04-01,755332.251548516,220215.623326868,220215.623326868,220215.623326868,220215.623326868,220215.623326868,220215.623326868,0,0,0,907739.10139627,1048513.58874873,755332.251548516,755332.251548516,975547.874875384
2015-05-01,753598.899835742,184659.593524687,184659.593524687,184659.593524687,184659.593524687,184659.593524687,184659.593524687,0,0,0,866240.081915724,1011494.94964044,753598.899835742,753598.899835742,938258.493360429
2015-06-01,751807.769732543,132888.450521484,132888.450521484,132888.450521484,132888.450521484,132888.450521484,132888.450521484,0,0,0,808604.850592738,958337.683082525,751807.769732543,751807.769732543,884696.220254027
